小说名称,文库分类,小说作者,文章状态,最后更新,全文长度,小说封面
绝望的世界,其他文库,宫谷俊二,连载中,2010-03-29,22361.0,http://img.wenku8.com/image/0/679/679s.jpg
机器妹 重申 人类皆兄妹！,电击文库,佐藤ケイ,已完成,2010-08-24,73557.0,http://img.wenku8.com/image/0/746/746s.jpg
初恋限定,集英社,平林佐和子,已完成,2010-09-02,70970.0,http://img.wenku8.com/image/0/564/564s.jpg
汪汪地狱犬,GA文库,芜木统文,已完成,2010-08-28,91023.0,http://img.wenku8.com/image/0/623/623s.jpg
闪光的哈萨维,其他文库,富野由悠季,已完成,2010-08-24,246970.0,http://img.wenku8.com/image/0/718/718s.jpg
棋魂,集英社,堀田由美,连载中,2010-08-27,144784.0,http://img.wenku8.com/image/0/651/651s.jpg
单恋的麒麟,电击文库,志村一矢,连载中,2010-09-17,297276.0,http://img.wenku8.com/image/0/344/344s.jpg
虎跃龙笑,Fami通文库,嬉野秋彦,连载中,2010-08-28,209857.0,http://img.wenku8.com/image/0/627/627s.jpg
魔女青春推理事件簿,角川文库,相泽沙呼,连载中,2018-05-14,177682.0,http://img.wenku8.com/image/2/2315/2315s.jpg
东宫家的石像怪,Fami通文库,田口仙年堂,连载中,2010-09-04,261750.0,http://img.wenku8.com/image/0/533/533s.jpg
欢迎来到最终迷宫,电击文库,周防司,连载中,2016-08-18,180294.0,http://img.wenku8.com/image/2/2022/2022s.jpg
壁橱中的地下城创造,MF文库J,からて,已完成,2018-02-17,90106.0,http://img.wenku8.com/image/2/2364/2364s.jpg
粗点心战争 另一个暑假,小学馆,逢空万太,已完成,2020-02-29,88232.0,http://img.wenku8.com/image/2/2156/2156s.jpg
悖德之城,其他文库,桑原水菜,已完成,2010-09-18,266679.0,http://img.wenku8.com/image/0/335/335s.jpg
银之镇魂歌,少女文库,吉原理惠子,已完成,2009-03-26,77252.0,http://img.wenku8.com/image/0/312/312s.jpg
相隔101米的爱恋,讲谈社,こまつ れい,已完成,2020-02-16,79386.0,http://img.wenku8.com/image/2/2661/2661s.jpg
.hack／／G.U.,角川文库,滨崎达也,已完成,2010-09-04,395788.0,http://img.wenku8.com/image/0/550/550s.jpg
虐杀器官,其他文库,伊藤计划,已完成,2017-02-03,176491.0,http://img.wenku8.com/image/2/2208/2208s.jpg
草祭,其他文库,恒川光太郎,已完成,2014-04-17,100749.0,http://img.wenku8.com/image/1/1598/1598s.jpg
宫本武藏,其他文库,吉川英治,连载中,2010-05-21,1002704.0,http://img.wenku8.com/image/0/773/773s.jpg
我们不懂察言观色,MF文库J,镜银钵,已完成,2019-05-23,209738.0,http://img.wenku8.com/image/2/2568/2568s.jpg
DUEL LOVE -恋爱少年是胜利王子-,少女文库,水泽なな,已完成,2011-10-03,69369.0,http://img.wenku8.com/image/1/1102/1102s.jpg
利亚兰的少年王与龙骑士,少女文库,花衣沙久罗,连载中,2010-03-03,160253.0,http://img.wenku8.com/image/0/361/361s.jpg
虫师,讲谈社,漆原友纪,已完成,2009-03-13,76745.0,http://img.wenku8.com/image/0/179/179s.jpg
断头人中村奈奈子,其他文库,日日日,连载中,2010-09-19,306061.0,http://img.wenku8.com/image/0/320/320s.jpg
薄樱鬼,少女文库,矢岛沙罗,连载中,2011-10-26,160517.0,http://img.wenku8.com/image/1/1015/1015s.jpg
女神异闻录4,Fami通文库,藤原健市,连载中,2012-11-25,98852.0,http://img.wenku8.com/image/1/1320/1320s.jpg
异次元流浪者,其他文库,眉村卓,已完成,2010-03-20,45510.0,http://img.wenku8.com/image/0/659/659s.jpg
聆听陌生电影的原声带,其他文库,竹宫悠由子,已完成,2020-03-14,121102.0,http://img.wenku8.com/image/2/2069/2069s.jpg
毕业前杀人游戏,其他文库,东野圭吾,已完成,2010-05-14,106776.0,http://img.wenku8.com/image/0/748/748s.jpg
听到涛声(海潮之声),其他文库,冰室冴子,已完成,2009-03-09,173125.0,http://img.wenku8.com/image/0/61/61s.jpg
夜行观览车,其他文库,凑佳苗,已完成,2012-03-01,132187.0,http://img.wenku8.com/image/1/1197/1197s.jpg
B-EDGE AGE 狮子们在爱丽丝的庭院里,富士见文库,樱庭一树,连载中,2011-02-21,101976.0,http://img.wenku8.com/image/0/980/980s.jpg
魔弹之王与圣泉的双纹剑,集英社,濑尾つかさ,连载中,2020-07-20,114325.0,http://img.wenku8.com/image/2/2787/2787s.jpg
里庭,其他文库,梨木香步,已完成,2013-04-05,123597.0,http://img.wenku8.com/image/1/1402/1402s.jpg
神圣懒鬼的冒险,其他文库,森见登美彦,已完成,2015-09-14,154206.0,http://img.wenku8.com/image/1/1963/1963s.jpg
4TEEN(十四岁),其他文库,石田衣良,已完成,2016-04-10,93337.0,http://img.wenku8.com/image/0/787/787s.jpg
甜点师傅的秘密推理,其他文库,似鸟鸡,已完成,2015-05-22,149561.0,http://img.wenku8.com/image/1/1870/1870s.jpg
骨王,角川文库,野村佳,已完成,2009-03-26,150082.0,http://img.wenku8.com/image/0/309/309s.jpg
交响情人梦,其他文库,高里椎奈,已完成,2009-07-03,104973.0,http://img.wenku8.com/image/0/377/377s.jpg
给小桃的信,角川文库,百濑忍,已完成,2012-11-17,70855.0,http://img.wenku8.com/image/1/1313/1313s.jpg
