小说名称,文库分类,小说作者,文章状态,最后更新,全文长度,小说封面
沉睡魔女(沉睡女巫),MF文库J,真野真央,连载中,2015-10-09,196856.0,http://img.wenku8.com/image/1/1491/1491s.jpg
付丧堂古董店,电击文库,御堂彰彦,已完成,2012-09-27,748390.0,http://img.wenku8.com/image/0/157/157s.jpg
西野～校内地位最底层的异能世界最强少年～,MF文库J,ぶんころり,连载中,2020-10-22,305172.0,http://img.wenku8.com/image/2/2582/2582s.jpg
秋叶原地下城冒险奇谭,其他文库,中野くみん,已完成,2018-11-19,311919.0,http://img.wenku8.com/image/1/1808/1808s.jpg
当蠢蛋FPS玩家误闯异世界之时,富士见文库,地雷原,连载中,2018-09-23,347664.0,http://img.wenku8.com/image/2/2270/2270s.jpg
赤裸裸之战,Fami通文库,花谷敏嗣,连载中,2013-01-21,216371.0,http://img.wenku8.com/image/1/1086/1086s.jpg
狗牙灭绝之刃(狗牙绝剑),富士见文库,舞阪洸,已完成,2014-10-26,277453.0,http://img.wenku8.com/image/0/310/310s.jpg
浴血方舟 公元5000年的亚当,其他文库,榊一郎,连载中,2015-08-15,209788.0,http://img.wenku8.com/image/1/1521/1521s.jpg
绯色魔法使,其他文库,茅田砂胡,已完成,2015-10-06,620702.0,http://img.wenku8.com/image/0/992/992s.jpg
甜蜜全接触！,角川文库,明日香正太,连载中,2011-07-20,79975.0,http://img.wenku8.com/image/1/1056/1056s.jpg
不分昼夜，恶女相伴(日夜相伴，恶女在身边),小学馆,鸟村居子,已完成,2018-05-21,276319.0,http://img.wenku8.com/image/1/1219/1219s.jpg
杀×爱,富士见文库,风见周,已完成,2011-02-14,682492.0,http://img.wenku8.com/image/0/413/413s.jpg
恋爱合战！,HJ文库,瓜亚锭,连载中,2014-08-11,91221.0,http://img.wenku8.com/image/1/1675/1675s.jpg
白银的救世机,MF文库J,天野冬景,已完成,2014-04-27,342755.0,http://img.wenku8.com/image/1/1467/1467s.jpg
昴宿七星(七星的昴星团),小学馆,田尾典丈,已完成,2020-02-23,672985.0,http://img.wenku8.com/image/2/2245/2245s.jpg
纯白煌王姬与异能魔导小队,其他文库,桐生恭丞,连载中,2015-10-04,210446.0,http://img.wenku8.com/image/1/1830/1830s.jpg
COP CRAFT(全缉毒狂潮),小学馆,贺东招二,连载中,2020-08-08,508092.0,http://img.wenku8.com/image/0/827/827s.jpg
英知学园的UNDER HEART,富士见文库,根岸和哉,连载中,2015-07-16,204192.0,http://img.wenku8.com/image/1/1638/1638s.jpg
末日乐园的葬花少女(倾轧乐园的葬花少女),电击文库,鹰野新,已完成,2015-07-30,490830.0,http://img.wenku8.com/image/1/1817/1817s.jpg
花鸟风月系列,电击文库,绫崎隼,连载中,2015-01-22,329111.0,http://img.wenku8.com/image/1/1655/1655s.jpg
向魔王太多的世界宣战,其他文库,甘宇井白一,连载中,2015-03-31,82294.0,http://img.wenku8.com/image/1/1840/1840s.jpg
王者英雄战记,Fami通文库,稻叶义明,已完成,2015-11-09,224138.0,http://img.wenku8.com/image/1/1900/1900s.jpg
K官方小说,讲谈社,合作,已完成,2016-07-01,539859.0,http://img.wenku8.com/image/1/1411/1411s.jpg
最近妹妹的样子有点怪(最近我的妹妹有点怪),富士见文库,みかづき红月,已完成,2014-03-06,81977.0,http://img.wenku8.com/image/1/1584/1584s.jpg
神话战域,HJ文库,无嵨树了,连载中,2013-12-03,78919.0,http://img.wenku8.com/image/1/1526/1526s.jpg
掀起世界危机,Fami通文库,佐藤了,已完成,2011-11-22,810152.0,http://img.wenku8.com/image/0/407/407s.jpg
梦见的咲夜,Fami通文库,城崎火也,连载中,2012-11-18,120634.0,http://img.wenku8.com/image/1/1314/1314s.jpg
公爵千金的本领,角川文库,澪亚,已完成,2020-08-29,743651.0,http://img.wenku8.com/image/2/2280/2280s.jpg
护花之龙的叙情诗,富士见文库,淡路帆希,已完成,2012-03-23,444557.0,http://img.wenku8.com/image/0/560/560s.jpg
骗王,电击文库,秋目人,连载中,2013-12-26,277755.0,http://img.wenku8.com/image/1/1153/1153s.jpg
Fateful moments 理想的沙漠,讲谈社,高桥びすい,已完成,2015-07-16,162161.0,http://img.wenku8.com/image/1/1803/1803s.jpg
尼特狮子红圣女,集英社,八剃玉造,连载中,2013-08-13,308354.0,http://img.wenku8.com/image/1/1379/1379s.jpg
齐藤爱丽丝是有害的,电击文库,中维,连载中,2013-07-15,191197.0,http://img.wenku8.com/image/1/1374/1374s.jpg
虚轴少女,电击文库,藤原佑,已完成,2012-03-01,1124106.0,http://img.wenku8.com/image/0/41/41s.jpg
与某飞行员的誓约,小学馆,犬村小六,连载中,2016-05-23,1219421.0,http://img.wenku8.com/image/1/1758/1758s.jpg
The ScrowMan ＆ FairyLolipops,电击文库,物草纯平,已完成,2014-06-22,300907.0,http://img.wenku8.com/image/1/1579/1579s.jpg
众神眷顾的男人(被神捡到的男人),HJ文库,Roy,连载中,2020-10-20,330300.0,http://img.wenku8.com/image/2/2781/2781s.jpg
靠神兽们成为世界最强吧(和神兽（我）们在一起的话说不定能变成世界最强哟？),富士见文库,福山阳士,已完成,2020-08-30,410544.0,http://img.wenku8.com/image/2/2327/2327s.jpg
姐神!,一迅社,橘ぱん,连载中,2012-11-08,109221.0,http://img.wenku8.com/image/1/1310/1310s.jpg
星图咏的理娜,一迅社,川口士,已完成,2020-03-10,414595.0,http://img.wenku8.com/image/1/1146/1146s.jpg
自称恶役大小姐的婚约者观察记录,其他文库,しき,已完成,2020-05-31,202765.0,http://img.wenku8.com/image/2/2539/2539s.jpg
猫所不能从事的职业,小学馆,竹林七草,连载中,2014-02-02,239427.0,http://img.wenku8.com/image/1/1362/1362s.jpg
尼特族吸血鬼·江藤(NEET吸血鬼，江藤小姐),富士见文库,铃木大辅,连载中,2013-08-23,158030.0,http://img.wenku8.com/image/1/1118/1118s.jpg
终焉之栞,MF文库J,スズム,连载中,2015-04-06,180908.0,http://img.wenku8.com/image/1/1511/1511s.jpg
超自然异象研究社,角川文库,耳目口司,已完成,2020-03-04,487022.0,http://img.wenku8.com/image/0/956/956s.jpg
只有我能进入的隐藏迷宫～低调锻炼化身世界最强～,其他文库,濑户メグル,连载中,2020-08-03,308767.0,http://img.wenku8.com/image/2/2500/2500s.jpg
Tales of Rebirth 重生传说,Fami通文库,矢岛さら,已完成,2011-04-25,447821.0,http://img.wenku8.com/image/0/849/849s.jpg
T、内裤、好运到,MF文库J,本村大志,连载中,2013-05-20,188259.0,http://img.wenku8.com/image/1/1329/1329s.jpg
僵尸少女的入学,角川文库,池端亮,连载中,2014-09-03,180445.0,http://img.wenku8.com/image/1/1524/1524s.jpg
直到你哭出来为止都会一直践踏你!,电击文库,御影瑛路,连载中,2013-06-19,101760.0,http://img.wenku8.com/image/1/1444/1444s.jpg
我俩开始征服世界,MF文库J,冈崎登,已完成,2012-10-06,457443.0,http://img.wenku8.com/image/0/418/418s.jpg
极道彼女!,MF文库J,三原みつき,已完成,2012-08-17,288952.0,http://img.wenku8.com/image/0/920/920s.jpg
看来我的身体天下无敌呢,其他文库,ちゃつふさ,连载中,2020-05-04,611888.0,http://img.wenku8.com/image/2/2551/2551s.jpg
THE NEW GATE,其他文库,风波しのぎ,连载中,2020-03-30,1113736.0,http://img.wenku8.com/image/2/2324/2324s.jpg
少女3原则！,集英社,松智洋,连载中,2020-03-11,258787.0,http://img.wenku8.com/image/1/1484/1484s.jpg
初恋魔法电击,集英社,明日香正太,连载中,2011-11-22,1130352.0,http://img.wenku8.com/image/0/22/22s.jpg
罗姆尼亚帝国兴亡记,富士见文库,舞阪洸,连载中,2020-03-01,164374.0,http://img.wenku8.com/image/1/1804/1804s.jpg
魔王学园的反叛者,角川文库,久慈政宗,连载中,2020-11-19,313222.0,http://img.wenku8.com/image/2/2741/2741s.jpg
超钢女雪拉,HJ文库,寺田とものり,已完成,2014-11-29,1249100.0,http://img.wenku8.com/image/0/181/181s.jpg
为所欲为的前勇者再度转生，开始强大而愉快的第二轮游戏,集英社,新木伸,连载中,2020-07-04,388693.0,http://img.wenku8.com/image/2/2388/2388s.jpg
神兵编年史 Chronicle Legion,集英社,丈月城,连载中,2016-09-09,346742.0,http://img.wenku8.com/image/1/1912/1912s.jpg
外挂级补师勇闯异世界迷宫！,富士见文库,dy冷冻,已完成,2020-03-25,290772.0,http://img.wenku8.com/image/2/2569/2569s.jpg
逆转召唤～全校被召唤到连隐藏设定我都了若指掌的异世界～,集英社,三河ごーすと,已完成,2019-12-04,259144.0,http://img.wenku8.com/image/2/2198/2198s.jpg
刀语,讲谈社,西尾维新,已完成,2010-12-16,735076.0,http://img.wenku8.com/image/0/318/318s.jpg
为了守卫二次元的据点而不得已需要女友,HJ文库,冬树忍,连载中,2012-11-26,81217.0,http://img.wenku8.com/image/1/1323/1323s.jpg
机动战士高达W 冰结的泪滴(Frozen Teardrop),角川文库,隅泽克之,已完成,2020-03-15,634757.0,http://img.wenku8.com/image/1/1366/1366s.jpg
断罪衣,电击文库,三田诚,连载中,2017-07-19,436727.0,http://img.wenku8.com/image/1/1092/1092s.jpg
MUV-LUV,集英社,北侧寒围,已完成,2020-03-17,881054.0,http://img.wenku8.com/image/0/845/845s.jpg
魅惑王冠,集英社,雪野静,连载中,2013-05-11,82077.0,http://img.wenku8.com/image/1/1426/1426s.jpg
囮物语(物语系列七),讲谈社,西尾维新,已完成,2011-07-26,132549.0,http://img.wenku8.com/image/1/1060/1060s.jpg
我的青春被一群家里蹲搞砸了,一迅社,棺悠介,连载中,2015-05-22,123875.0,http://img.wenku8.com/image/1/1869/1869s.jpg
沃泰克斯学园战记,讲谈社,山田有,连载中,2014-07-17,90198.0,http://img.wenku8.com/image/1/1671/1671s.jpg
枪械魔法异战,电击文库,长田信织,已完成,2020-03-02,218284.0,http://img.wenku8.com/image/1/1915/1915s.jpg
LOVE YOU 我的勇者公主,集英社,七月隆文,连载中,2010-07-25,478919.0,http://img.wenku8.com/image/0/107/107s.jpg
14岁与插画家,MF文库J,村崎幸也,连载中,2020-07-15,340554.0,http://img.wenku8.com/image/2/2347/2347s.jpg
未来都市NO.6,讲谈社,浅野敦子,已完成,2013-08-24,574996.0,http://img.wenku8.com/image/0/996/996s.jpg
漂流书库之断罪星导师,富士见文库,川口士,连载中,2012-12-31,88366.0,http://img.wenku8.com/image/1/1352/1352s.jpg
神圣魔法师漆黑的漆原小姐,MF文库J,森田季节,连载中,2014-05-13,154803.0,http://img.wenku8.com/image/1/1493/1493s.jpg
真·恋姬无双 少女缭乱 三国志演义,Fami通文库,小林正亲,已完成,2010-07-23,173525.0,http://img.wenku8.com/image/0/525/525s.jpg
努力过头的世界最强武斗家，在魔法世界轻松过生活,集英社,わんこそば,连载中,2020-05-25,358891.0,http://img.wenku8.com/image/2/2436/2436s.jpg
人间系列,讲谈社,西尾维新,已完成,2013-01-12,744570.0,http://img.wenku8.com/image/0/276/276s.jpg
你并不孤单,MF文库J,小岩井莲二,连载中,2014-07-04,148996.0,http://img.wenku8.com/image/1/1395/1395s.jpg
反文字的数秘术师(不屈于数的数秘术师),电击文库,兔月山羊,已完成,2013-05-18,526288.0,http://img.wenku8.com/image/1/1353/1353s.jpg
死神姬的再婚,少女文库,小野上明夜,连载中,2015-02-22,493596.0,http://img.wenku8.com/image/1/1506/1506s.jpg
叛逆的鲁路修(反叛的鲁路修),角川文库,岩佐守,已完成,2015-03-24,1141959.0,http://img.wenku8.com/image/0/353/353s.jpg
现实主义勇者的王国重建记,其他文库,どぜう丸,连载中,2020-06-24,514075.0,http://img.wenku8.com/image/2/2443/2443s.jpg
美少女通通是我的,其他文库,天草白,连载中,2014-01-05,60254.0,http://img.wenku8.com/image/1/1548/1548s.jpg
虫之荒石园,电击文库,物草纯平,已完成,2014-10-11,649469.0,http://img.wenku8.com/image/1/1509/1509s.jpg
向森之魔物献上花束(向森林的魔兽少女献花),小学馆,小木君人,已完成,2012-11-02,105985.0,http://img.wenku8.com/image/1/1306/1306s.jpg
黑之召唤士,其他文库,迷井豆腐,连载中,2019-05-29,295142.0,http://img.wenku8.com/image/2/2267/2267s.jpg
我的复仇将打倒所有女主角！,集英社,八剃玉造,已完成,2017-07-18,264379.0,http://img.wenku8.com/image/1/1967/1967s.jpg
天川天音的否定公式,MF文库J,叶村哲,已完成,2011-04-27,358061.0,http://img.wenku8.com/image/0/707/707s.jpg
扑杀天使朵库萝,电击文库,おかゆまさき,已完成,2014-12-22,864728.0,http://img.wenku8.com/image/0/89/89s.jpg
带着外挂转生为公会柜台小姐,其他文库,夏にコタツ,连载中,2020-08-29,633629.0,http://img.wenku8.com/image/2/2471/2471s.jpg
濒临绝种的左眼龙王,HJ文库,千月さかき,连载中,2015-11-13,98556.0,http://img.wenku8.com/image/1/1997/1997s.jpg
被勇者队伍开除的驯兽师，邂逅最强种的猫耳少女,其他文库,深山铃,连载中,2019-07-10,99651.0,http://img.wenku8.com/image/2/2576/2576s.jpg
我和她乃魔王与勇者及学生会长,电击文库,哀川让,已完成,2013-01-29,105591.0,http://img.wenku8.com/image/1/1345/1345s.jpg
甘城辉煌乐园救世主 红枫召唤者,富士见文库,八奈川景晶,已完成,2020-02-29,202313.0,http://img.wenku8.com/image/1/1871/1871s.jpg
我想吃掉你的胰脏(我想吃了，你的胰脏),其他文库,住野夜,已完成,2020-03-09,122529.0,http://img.wenku8.com/image/2/2032/2032s.jpg
月见月理解的侦探杀人,GA文库,明月千里,已完成,2013-06-17,642442.0,http://img.wenku8.com/image/1/1080/1080s.jpg
我与男生与青春期妄想的她们,Fami通文库,矢野唯,已完成,2014-08-31,518781.0,http://img.wenku8.com/image/1/1277/1277s.jpg
小春原日和的育成日记,电击文库,五十岚雄策,连载中,2013-06-02,440387.0,http://img.wenku8.com/image/0/687/687s.jpg
圣女魔力无所不能,角川文库,橘由华,连载中,2020-03-04,309922.0,http://img.wenku8.com/image/2/2391/2391s.jpg
死神的歌谣,电击文库,长谷川启介,已完成,2014-10-26,963063.0,http://img.wenku8.com/image/0/72/72s.jpg
Sugar Apple Fairy Tale,少女文库,三川美里,连载中,2015-09-07,239669.0,http://img.wenku8.com/image/1/1581/1581s.jpg
境界的彼方,其他文库,鸟居なごむ,连载中,2016-02-01,113950.0,http://img.wenku8.com/image/1/1682/1682s.jpg
月之誓约与原书的公主,富士见文库,樋口用考,连载中,2014-07-08,96957.0,http://img.wenku8.com/image/1/1662/1662s.jpg
天才程式少女(你好，世界—Hello World—),讲谈社,仙波ユウスケ,连载中,2015-07-04,107424.0,http://img.wenku8.com/image/1/1910/1910s.jpg
舰队收藏(舰队Collection 鹤翼之绊),富士见文库,内田弘树,已完成,2017-01-20,543272.0,http://img.wenku8.com/image/1/1819/1819s.jpg
月姬,游戏剧本,奈须蘑菇,已完成,2010-06-11,1260680.0,http://img.wenku8.com/image/0/28/28s.jpg
欢迎来到血吸村,电击文库,阿智太郎,已完成,2012-12-15,530102.0,http://img.wenku8.com/image/0/469/469s.jpg
异世界食堂,其他文库,犬冢惇平,连载中,2020-03-16,324658.0,http://img.wenku8.com/image/2/2199/2199s.jpg
BLACK BLOOD BROTHERS 黑血兄弟,富士见文库,字野耕平,已完成,2020-03-10,1855220.0,http://img.wenku8.com/image/0/141/141s.jpg
大图书馆的牧羊人,Fami通文库,田尾典丈,连载中,2015-03-15,253808.0,http://img.wenku8.com/image/1/1454/1454s.jpg
终夏与失忆女友,小学馆,境田吉孝,已完成,2014-11-01,89240.0,http://img.wenku8.com/image/1/1739/1739s.jpg
今天开始做魔王,少女文库,乔林知,连载中,2020-03-06,1754154.0,http://img.wenku8.com/image/0/121/121s.jpg
征王之迷宫塔,一迅社,濑尾つかさ,已完成,2012-08-17,240316.0,http://img.wenku8.com/image/1/1237/1237s.jpg
GENEZ,富士见文库,深见真,连载中,2012-11-18,331784.0,http://img.wenku8.com/image/1/1094/1094s.jpg
Minutes 绝对一分钟,电击文库,乙野四方字,连载中,2012-06-22,119096.0,http://img.wenku8.com/image/1/1245/1245s.jpg
珍爱物语！一觉醒来爱我的妹妹竟然变得比我大,集英社,三木なずな,连载中,2014-07-21,111910.0,http://img.wenku8.com/image/1/1676/1676s.jpg
猫耳天使与恋爱苹果,MF文库J,花间灯,已完成,2016-06-26,197635.0,http://img.wenku8.com/image/1/1754/1754s.jpg
「凭你也想讨伐魔王？」被勇者小队逐出队伍，只好在王都自在过活(你这种家伙别想打赢魔王),其他文库,kiki,连载中,2019-02-16,321761.0,http://img.wenku8.com/image/2/2451/2451s.jpg
少女不十分,讲谈社,西尾维新,已完成,2011-10-01,127904.0,http://img.wenku8.com/image/1/1101/1101s.jpg
魔王筑城记！～最强迷宫是近代都市～,GA文库,月夜泪,连载中,2020-06-25,352260.0,http://img.wenku8.com/image/2/2365/2365s.jpg
失格纹的最强贤者～世界最强的贤者为了变得更强而转生了～,GA文库,进行诸岛,连载中,2020-07-11,149140.0,http://img.wenku8.com/image/2/2521/2521s.jpg
钢音之剑,HJ文库,无嵨树了,已完成,2014-11-25,276487.0,http://img.wenku8.com/image/1/1090/1090s.jpg
恋爱超能力(小齿轮),MF文库J,樋口司,已完成,2012-08-08,368773.0,http://img.wenku8.com/image/0/403/403s.jpg
SLAYERS！秀逗魔导士(魔剑美神),富士见文库,神坂一,已完成,2020-03-17,1078446.0,http://img.wenku8.com/image/0/221/221s.jpg
白银的城姬,MF文库J,志瑞佑,连载中,2013-03-31,183627.0,http://img.wenku8.com/image/1/1201/1201s.jpg
诸神的差使,电击文库,浅叶なつ,连载中,,,http://img.wenku8.com/image/1/1831/1831s.jpg
开朗的家族炮计划！,Fami通文库,新木伸,已完成,2011-03-30,590824.0,http://img.wenku8.com/image/0/414/414s.jpg
奴隶区 我与23个奴隶,其他文库,冈田伸一,连载中,2014-04-18,130347.0,http://img.wenku8.com/image/1/1599/1599s.jpg
不能使用攻击魔法的魔法师,其他文库,绢野帽子,已完成,2014-09-20,201902.0,http://img.wenku8.com/image/1/1714/1714s.jpg
弑神英雄与七大誓约,其他文库,ウメ种,连载中,2020-02-09,476834.0,http://img.wenku8.com/image/2/2226/2226s.jpg
加入年轻人敬而远之的黑魔法公司，没想到工作待遇好，社长和使魔也超可爱，太棒了！,集英社,森田季节,连载中,2020-11-13,583569.0,http://img.wenku8.com/image/2/2433/2433s.jpg
DOG LIVE,集英社,藤原健市,已完成,2020-02-08,258019.0,http://img.wenku8.com/image/1/1665/1665s.jpg
旅团粉碎机的那女孩如果被我已读无视了会露出什么表情呢,角川文库,秀章,连载中,2017-09-10,153872.0,http://img.wenku8.com/image/2/2287/2287s.jpg
人造生命体与美丽新世界,HJ文库,绯月剃,已完成,2020-05-20,388574.0,http://img.wenku8.com/image/2/2261/2261s.jpg
只有神知道的世界,小学馆,有泽真水,已完成,2010-12-19,153351.0,http://img.wenku8.com/image/0/465/465s.jpg
杀戮轮回 ALL YOU NEED IS KILL,集英社,樱坂洋,已完成,2014-06-12,108946.0,http://img.wenku8.com/image/0/582/582s.jpg
火影忍者官方小说,集英社,日下部匡俊,连载中,2010-03-11,138431.0,http://img.wenku8.com/image/0/636/636s.jpg
非宅女友对我的H游戏感到兴致勃勃……,富士见文库,泷泽慧,连载中,2020-06-30,319092.0,http://img.wenku8.com/image/2/2257/2257s.jpg
喜欢上死党的女友，向井弘凪的罪与罚,集英社,野村美月,已完成,2015-02-12,88263.0,http://img.wenku8.com/image/1/1807/1807s.jpg
妖怪旅馆营业中,富士见文库,友麻碧,已完成,2020-05-23,1191689.0,http://img.wenku8.com/image/2/2133/2133s.jpg
沙漠国物语,少女文库,仓吹智绘,连载中,2020-03-05,913633.0,http://img.wenku8.com/image/0/405/405s.jpg
打工魔法师,角川文库,椎野美由贵,已完成,2014-07-03,1187727.0,http://img.wenku8.com/image/0/167/167s.jpg
公主骑士征服战争(姬骑士征服战争),富士见文库,深见真,连载中,2017-04-12,67446.0,http://img.wenku8.com/image/2/2241/2241s.jpg
通过扭蛋增加同伴 建立最强美少女军团,其他文库,ちんくるり,连载中,2019-02-03,234407.0,http://img.wenku8.com/image/2/2448/2448s.jpg
讨伐魔王之后不想出名，于是成为公会会长,富士见文库,朱月十话,连载中,2020-09-15,481832.0,http://img.wenku8.com/image/2/2572/2572s.jpg
海猫鸣泣之时,游戏剧本,龙骑士07,已完成,2014-12-19,2578555.0,http://img.wenku8.com/image/0/380/380s.jpg
格兰斯坦迪亚皇国物语,HJ文库,内堀优一,连载中,2017-03-31,351459.0,http://img.wenku8.com/image/1/1775/1775s.jpg
DATE A BULLET赤黑新章,富士见文库,东出佑一郎,连载中,2020-09-05,581098.0,http://img.wenku8.com/image/2/2367/2367s.jpg
赤村崎葵子的分析是瞎扯淡,电击文库,十阶堂一系,已完成,2020-04-18,263297.0,http://img.wenku8.com/image/1/1842/1842s.jpg
咖啡馆推理事件簿,其他文库,冈崎琢磨,连载中,2020-09-07,594006.0,http://img.wenku8.com/image/1/1473/1473s.jpg
东京食尸鬼(东京喰种)官方小说,集英社,十和田シン,已完成,2020-03-14,71061.0,http://img.wenku8.com/image/1/1740/1740s.jpg
我的生存意义,小学馆,赤月驱矢,连载中,2019-09-05,593473.0,http://img.wenku8.com/image/1/1920/1920s.jpg
世界系列,讲谈社,西尾维新,连载中,2011-04-09,449627.0,http://img.wenku8.com/image/0/91/91s.jpg
我的校园生活才正要开始！(我的校园生活才刚刚开始！),Fami通文库,冈本タクヤ,已完成,2013-09-18,138508.0,http://img.wenku8.com/image/1/1476/1476s.jpg
自称F级的哥哥似乎要称霸以游戏分级的学园？,MF文库J,三河ごーすと,连载中,2020-04-16,445563.0,http://img.wenku8.com/image/2/2559/2559s.jpg
枪与假面(枪的假面舞会),其他文库,子安秀明,连载中,2014-08-02,173517.0,http://img.wenku8.com/image/1/1648/1648s.jpg
玩伴猫耳娘,MF文库J,神野奥那,连载中,2012-05-03,712584.0,http://img.wenku8.com/image/0/245/245s.jpg
在大国开外挂，轻松征服异世界！,MF文库J,棹末高彰,连载中,2020-03-28,267172.0,http://img.wenku8.com/image/2/2481/2481s.jpg
被前女友绿了的我，被小恶魔后辈缠上了,角川文库,御宫ゆう,连载中,2020-11-13,160595.0,http://img.wenku8.com/image/2/2725/2725s.jpg
放学后，到异世界咖啡厅喝杯咖啡(放学后的异世界咖啡馆),富士见文库,风见鸡,连载中,2019-03-03,312790.0,http://img.wenku8.com/image/2/2331/2331s.jpg
X的魔王,MF文库J,伊都工平,已完成,2011-06-15,304739.0,http://img.wenku8.com/image/0/768/768s.jpg
不洁圣者的神代之诗,MF文库J,新见圣,连载中,2015-03-05,95241.0,http://img.wenku8.com/image/1/1828/1828s.jpg
我家会长是个坏坏虎斑猫,HJ文库,空野一树,连载中,2013-08-11,193400.0,http://img.wenku8.com/image/1/1319/1319s.jpg
Steins；Gate命运石之门(官方外传β世界线),其他文库,たきもとまさし,已完成,2020-03-14,302409.0,http://img.wenku8.com/image/1/1431/1431s.jpg
我心之剑,MF文库J,十文字青,已完成,2013-07-26,481323.0,http://img.wenku8.com/image/0/713/713s.jpg
SH@PPLE 双子丽人,富士见文库,竹冈叶月,已完成,2012-12-24,856523.0,http://img.wenku8.com/image/0/266/266s.jpg
千本樱,其他文库,一斗まる,连载中,2015-01-11,179975.0,http://img.wenku8.com/image/1/1797/1797s.jpg
进击的巨人 before the fall,讲谈社,凉风凉,已完成,2013-12-01,281054.0,http://img.wenku8.com/image/1/1282/1282s.jpg
RAIL WARS！国有铁道公安队,其他文库,丰田巧,连载中,2016-05-14,399246.0,http://img.wenku8.com/image/1/1748/1748s.jpg
天空之钟 响彻惑星,电击文库,渡濑草一郎,已完成,2010-11-22,1461339.0,http://img.wenku8.com/image/0/59/59s.jpg
Eirun Last Code~自架空世界至战场~,MF文库J,东龙乃助,连载中,2020-03-10,667316.0,http://img.wenku8.com/image/2/2056/2056s.jpg
与佐伯同学同住一个屋檐下 I＇ll have Sherbet！,Fami通文库,九曜,已完成,2020-04-22,417122.0,http://img.wenku8.com/image/2/2376/2376s.jpg
月兔的银色方舟,电击文库,鸭志田一,已完成,2011-02-24,579654.0,http://img.wenku8.com/image/0/457/457s.jpg
咆哮魔龙的捕食作法,HJ文库,内崛优一,连载中,2014-03-12,87760.0,http://img.wenku8.com/image/1/1573/1573s.jpg
A子与『透』与社团活动时间,电击文库,柳田狐狗狸,已完成,2013-12-26,206756.0,http://img.wenku8.com/image/1/1419/1419s.jpg
七姬物语,电击文库,高野和,已完成,2012-07-06,750080.0,http://img.wenku8.com/image/0/82/82s.jpg
黑姬柚叶,MF文库J,田口一,已完成,2011-01-27,343818.0,http://img.wenku8.com/image/0/682/682s.jpg
史上最强大魔王转生为村民A,富士见文库,下等妙人,连载中,2020-09-30,295052.0,http://img.wenku8.com/image/2/2644/2644s.jpg
Angel Beats! -Track Zero-,电击文库,麻枝准,已完成,2010-09-09,81884.0,http://img.wenku8.com/image/0/874/874s.jpg
我想吃饭！～什么都会做的～,GA文库,天乃圣树,已完成,2013-05-31,95529.0,http://img.wenku8.com/image/1/1436/1436s.jpg
折断的圣剑与帝冠剑姬,一迅社,川口士,连载中,2017-01-25,560307.0,http://img.wenku8.com/image/2/2081/2081s.jpg
我和她的青春辩论(我与她的青春争论),角川文库,喜多见かなた,已完成,2014-05-24,102903.0,http://img.wenku8.com/image/1/1628/1628s.jpg
旅行，直至毁灭世界的终焉,电击文库,万屋直人,已完成,2012-03-27,123004.0,http://img.wenku8.com/image/1/1208/1208s.jpg
这是当然的大小姐(当然、大小姐),Fami通文库,竹冈叶月,连载中,2013-01-27,109056.0,http://img.wenku8.com/image/1/1322/1322s.jpg
露露的支配魔术,角川文库,土屋司,连载中,2013-02-12,100346.0,http://img.wenku8.com/image/1/1372/1372s.jpg
16:00的召唤魔法,其他文库,木绪那智,已完成,2020-03-13,142182.0,http://img.wenku8.com/image/1/1537/1537s.jpg
冰雪少女,富士见文库,山田有,连载中,2015-11-18,154538.0,http://img.wenku8.com/image/1/1543/1543s.jpg
我在周末与龙冒险,讲谈社,星见圭,已完成,2018-03-14,197605.0,http://img.wenku8.com/image/1/1917/1917s.jpg
禁忌的转生术与誓约的公主,Fami通文库,鸟村居子,连载中,2015-04-08,93917.0,http://img.wenku8.com/image/1/1846/1846s.jpg
成为奴隶商人了in异世界,其他文库,ルンパルンパ,连载中,2017-08-15,199572.0,http://img.wenku8.com/image/2/2183/2183s.jpg
三分钟的少年遇见少女,Fami通文库,合作,已完成,2011-12-20,139987.0,http://img.wenku8.com/image/1/1155/1155s.jpg
魔法少女育成计划,其他文库,远藤浅蜊,连载中,2020-06-08,844856.0,http://img.wenku8.com/image/1/1414/1414s.jpg
神曲奏界 黑,GA文库,大迫纯一,已完成,2015-08-27,1396710.0,http://img.wenku8.com/image/0/272/272s.jpg
异世界魔物培育家～带着外挂悠哉养成中～,GA文库,柑橘ゆすら,连载中,2019-08-02,157140.0,http://img.wenku8.com/image/2/2227/2227s.jpg
推理要在晚餐后,其他文库,东川笃哉,连载中,2013-06-02,390839.0,http://img.wenku8.com/image/1/1085/1085s.jpg
英雄教室,集英社,新木伸,连载中,2020-03-10,458613.0,http://img.wenku8.com/image/2/2068/2068s.jpg
恶之娘,其他文库,恶之P（mothy）,已完成,2020-03-08,368565.0,http://img.wenku8.com/image/0/926/926s.jpg
樱花contact,其他文库,合作,已完成,2015-02-14,155420.0,http://img.wenku8.com/image/1/1685/1685s.jpg
祭品的幸福扳机,MF文库J,未味なり太,连载中,2015-08-19,106671.0,http://img.wenku8.com/image/1/1789/1789s.jpg
独立学园国家的召唤术科生,MF文库J,镜银钵,连载中,2015-12-21,103334.0,http://img.wenku8.com/image/2/2005/2005s.jpg
死亡重生、为了拯救一切成为最强,小学馆,shiryu,连载中,2020-03-03,164503.0,http://img.wenku8.com/image/2/2645/2645s.jpg
